Place Name,Dataset,Numero_Recensioni,Latitude,Longitude,Link_to_Place,Address
Tarantino Pizza Restaurant,porto,1,,,"https://www.google.com/maps/search/Tarantino+Pizza+Restaurant+Pra%C3%A7a+de+Carlos+Alberto+61,+4050-449+Porto,+Portugal","Praça de Carlos Alberto 61, 4050-449 Porto, Portugal"
Tasca do Luís - Panados & Cia,porto,3,,,"https://www.google.com/maps/search/Tasca+do+Lu%C3%ADs+-+Panados+&+Cia+R.+da+Madeira+222,+4000-433+Porto,+Portugal","R. da Madeira 222, 4000-433 Porto, Portugal"
Taskinha do alex,porto,5,,,"https://www.google.com/maps/search/Taskinha+do+alex+Rua+dos+M%C3%A1rtires+da+Liberdade+134,+4050-359+Porto,+Portugal","Rua dos Mártires da Liberdade 134, 4050-359 Porto, Portugal"
Tasquinha Rebelo,porto,2,,,"https://www.google.com/maps/search/Tasquinha+Rebelo+R.+de+Miraflor+1,+4300-334+Porto,+Portugal","R. de Miraflor 1, 4300-334 Porto, Portugal"
Tasquinha Zé Povinho,porto,4,,,"https://www.google.com/maps/search/Tasquinha+Z%C3%A9+Povinho+R.+de+Clemente+Meneres+n%C2%BA36,+4050-201+Porto,+Portugal","R. de Clemente Meneres nº36, 4050-201 Porto, Portugal"
Tasquinha d'Ouro,porto,1,,,"https://www.google.com/maps/search/Tasquinha+d'Ouro+R.+do+Ouro+236,+4150-553+Porto,+Portugal","R. do Ouro 236, 4150-553 Porto, Portugal"
Tasquinha do Bé,porto,1,,,"https://www.google.com/maps/search/Tasquinha+do+B%C3%A9+R.+de+Belomonte+116,+4050-096+Porto,+Portugal","R. de Belomonte 116, 4050-096 Porto, Portugal"
Tasquinha do Caco - São João,porto,1,,,"https://www.google.com/maps/search/Tasquinha+do+Caco+-+S%C3%A3o+Jo%C3%A3o+R.+Am%C3%A2ndio+Galhano+51,+4200-005+Porto,+Portugal","R. Amândio Galhano 51, 4200-005 Porto, Portugal"
Tasquinha do Canto,porto,1,,,"https://www.google.com/maps/search/Tasquinha+do+Canto+Rua+dos+Caldeireiros+53,+4050-200+Porto,+Portugal","Rua dos Caldeireiros 53, 4050-200 Porto, Portugal"
Tasty Kebab House,porto,2,41.1499167,-8.5989961,"https://www.google.com/maps/search/Tasty+Kebab+House+Campo+24+de+Agosto+130,+4300-096+Porto,+Portugal","Campo 24 de Agosto 130, 4300-096 Porto, Portugal"
Tavi - Confeitaria da Foz,porto,4,,,"https://www.google.com/maps/search/Tavi+-+Confeitaria+da+Foz+R.+da+Sra.+da+Luz+363,+4150-183+Porto,+Portugal","R. da Sra. da Luz 363, 4150-183 Porto, Portugal"
Tayyebah Halal Kebab,porto,3,,,"https://www.google.com/maps/search/Tayyebah+Halal+Kebab+R.+de+Santa+Catarina+1000,+4000-447+Porto,+Portugal","R. de Santa Catarina 1000, 4000-447 Porto, Portugal"
Teatro Sá da Bandeira,porto,12,,,"https://www.google.com/maps/search/Teatro+S%C3%A1+da+Bandeira+Teatro+Sa+da+BAndeira,+R.+de+S%C3%A1+da+Bandeira+108,+4000-427+Porto,+Portugal","Teatro Sa da BAndeira, R. de Sá da Bandeira 108, 4000-427 Porto, Portugal"
"TeeLegend - T-Shirts for Geeks, Nerds & Jedi",porto,1,,,"https://www.google.com/maps/search/TeeLegend+-+T-Shirts+for+Geeks,+Nerds+&+Jedi+R.+de+Cedofeita+46,+4050-172+Porto,+Portugal","R. de Cedofeita 46, 4050-172 Porto, Portugal"
Telepizza Amial,porto,1,,,"https://www.google.com/maps/search/Telepizza+Amial+Rua+do+Amial+283,+4200-060+Porto,+Portugal","Rua do Amial 283, 4200-060 Porto, Portugal"
Telepizza Antas,porto,2,,,"https://www.google.com/maps/search/Telepizza+Antas+R.+do+Amparo+217,+4350-034+Porto,+Portugal","R. do Amparo 217, 4350-034 Porto, Portugal"
Telepizza Santo Ovídio,porto,1,,,"https://www.google.com/maps/search/Telepizza+Santo+Ov%C3%ADdio+R.+de+Soares+dos+Reis+528,+4400-315+Porto,+Portugal","R. de Soares dos Reis 528, 4400-315 Porto, Portugal"
Temple Boavista,porto,2,,,"https://www.google.com/maps/search/Temple+Boavista+R.+de+Eug%C3%A9nio+de+Castro+97,+4100-225+Porto,+Portugal","R. de Eugénio de Castro 97, 4100-225 Porto, Portugal"
Tendinha Da Trindade,porto,1,,,"https://www.google.com/maps/search/Tendinha+Da+Trindade+Tv.+de+Liceiras+10,+4000-010+Porto,+Portugal","Tv. de Liceiras 10, 4000-010 Porto, Portugal"
Tendinha Dos Poveiros,porto,5,,,"https://www.google.com/maps/search/Tendinha+Dos+Poveiros+Largo+da+Ramadinha+67,+4000-406+Porto,+Portugal","Largo da Ramadinha 67, 4000-406 Porto, Portugal"
Tentação de unhas Porto,porto,2,,,"https://www.google.com/maps/search/Tenta%C3%A7%C3%A3o+de+unhas+Porto+R.+de+Fonseca+Cardoso+223,+4000-234+Porto,+Portugal","R. de Fonseca Cardoso 223, 4000-234 Porto, Portugal"
Terapias do Dias - Massagem e Terapias Orientais,porto,1,,,"https://www.google.com/maps/search/Terapias+do+Dias+-+Massagem+e+Terapias+Orientais+R.+Nova+de+S%C3%A3o+Crispim+267,+4000-362+Porto,+Portugal","R. Nova de São Crispim 267, 4000-362 Porto, Portugal"
Teresa Botelho cabeleireiros,porto,1,,,"https://www.google.com/maps/search/Teresa+Botelho+cabeleireiros+R.+de+Ant%C3%B3nio+C%C3%A2ndido+9,+4200-066+Porto,+Portugal","R. de António Cândido 9, 4200-066 Porto, Portugal"
Terra Restaurant,porto,1,,,"https://www.google.com/maps/search/Terra+Restaurant+Rua+do+Padr%C3%A3o+103,+4150-559+Porto,+Portugal","Rua do Padrão 103, 4150-559 Porto, Portugal"
Terraplana Café,porto,1,,,"https://www.google.com/maps/search/Terraplana+Caf%C3%A9+Av.+de+Rodrigues+de+Freitas+287,+4000-421+Porto,+Portugal","Av. de Rodrigues de Freitas 287, 4000-421 Porto, Portugal"
Terraço do Jardim - Rooftop Lounge,porto,2,,,"https://www.google.com/maps/search/Terra%C3%A7o+do+Jardim+-+Rooftop+Lounge+R.+do+Bonjardim+567,+4000-126+Porto,+Portugal","R. do Bonjardim 567, 4000-126 Porto, Portugal"
Tex Mex Factory,porto,1,,,"https://www.google.com/maps/search/Tex+Mex+Factory+Rua+da+Alegria+87,+4000-042+Porto,+Portugal","Rua da Alegria 87, 4000-042 Porto, Portugal"
